10th Marks,12th Marks,Skills,Career
64,72,"Experimentation, Scientific Writing, Critical Thinking",Research Scientist
69,78,"Prototyping, Adobe XD",Product Designer
74,83,"Proofreading, Content Strategy, Communication, Editing",Content Writer
87,65,"Critical Thinking, Fundraising, Pitching, Innovation",Entrepreneur
89,75,"General Awareness, Critical Thinking, Law Knowledge",Government Employee
75,84,"Content Strategy, SEO Writing, Proofreading, Editing",Content Writer
62,60,"Editing, Content Strategy, SEO Writing",Content Writer
78,60,"Critical Thinking, Prototyping, Wireframing, Adobe XD",Product Designer
78,63,"Community Management, Content Planning, Advertising, Analytics",Social Media Manager
63,62,"Reasoning, General Awareness, Law Knowledge, Aptitude",Government Employee
68,88,"Problem Solving, Wireframing, Adobe XD, User Research",Product Designer
77,69,"Google Ads, Analytics",Digital Marketer
86,76,"Data Analysis, Laboratory Skills, Experimentation, Critical Thinking, Critical Thinking",Research Scientist
65,76,"Construction Management, AutoCAD, Structural Analysis, Geotechnical Engineering",Civil Engineer
89,93,"Legal Research, Client Counseling, Creativity",Lawyer
60,72,"Analytics, Google Ads, SEO",Digital Marketer
94,89,"Business Development, Startup Strategy, Pitching, Fundraising",Entrepreneur
86,67,"Startup Strategy, Business Development",Entrepreneur
65,62,"Big Data, Statistics, Data Visualization",Data Scientist
61,69,"Problem Solving, Content Marketing, SEO, Analytics",Digital Marketer
91,79,"Teamwork, Communication, Lesson Planning, Assessment",Teacher
67,61,"Content Planning, Advertising, Community Management, Teamwork, Social Media Strategy",Social Media Manager
76,85,"Documentation, Data Analysis, Requirement Gathering, SQL",Business Analyst
60,85,"Research Methods, Counseling, Therapy Techniques, Clinical Knowledge",Psychologist
96,84,"Critical Thinking, Documentation, SQL, Communication, Data Analysis",Business Analyst
74,70,"Business Development, Fundraising, Problem Solving",Entrepreneur
77,94,"Adobe XD, UI/UX Design, Creativity, User Research",Product Designer
63,87,"Clinical Knowledge, Therapy Techniques, Patient Care, Counseling",Psychologist
60,61,"Analytics, Content Marketing",Digital Marketer
78,68,"SQL, Data Analysis, Requirement Gathering, Communication",Business Analyst
93,69,"Creative Writing, Content Strategy, Editing, Proofreading, Communication",Content Writer
99,74,"Analytics, Email Marketing, SEO, Content Marketing",Digital Marketer
60,77,"Thermodynamics, CAD, Materials Science",Mechanical Engineer
80,80,"Community Management, Analytics, Communication",Social Media Manager
75,94,"Strategy, Negotiation, Finance Knowledge, Leadership",Business Professional
88,75,"CAD, Communication, Machine Design, Manufacturing",Mechanical Engineer
96,82,"Analytics, Email Marketing, SEO, Google Ads",Digital Marketer
79,73,"Problem Solving, Content Planning, Advertising",Social Media Manager
93,67,"CAD, Materials Science, Manufacturing, Thermodynamics",Mechanical Engineer
70,82,"Communication, Assessment",Teacher
86,92,"Adobe XD, User Research, Prototyping, Wireframing",Product Designer
73,88,"Python, Big Data",Data Scientist
77,62,"Teamwork, Assessment, Classroom Management",Teacher
70,86,"Statistics, Data Visualization, Big Data, Machine Learning",Data Scientist
72,93,"Aptitude, Law Knowledge",Government Employee
65,67,"Building Codes, Design Principles, Project Management, AutoCAD",Architect
94,61,"Negotiation, Finance Knowledge, Management, Creativity, Strategy",Business Professional
67,79,"Thermodynamics, Manufacturing, Creativity",Mechanical Engineer
79,92,"Business Development, Startup Strategy, Communication",Entrepreneur
69,98,"Assessment, Communication, Subject Knowledge, Lesson Planning, Communication",Teacher
73,94,"Accounting, Financial Modeling, Problem Solving",Financial Analyst
87,99,"DSA, Debugging, Programming, Creativity",Software Developer
69,62,"Statistics, Big Data, Critical Thinking",Data Scientist
98,66,"SEO Writing, Proofreading",Content Writer
86,60,"System Design, Debugging, Algorithms, DSA",Software Developer
76,78,"Assessment, Lesson Planning, Problem Solving",Teacher
96,91,"Anatomy, Chemistry, Biology, Medical Research",Doctor
85,97,"Critical Thinking, Google Ads, Content Marketing, Analytics",Digital Marketer
86,73,"DSA, Programming, Algorithms, Debugging",Software Developer
77,74,"Statistics, Big Data, Python, Data Visualization, Creativity",Data Scientist
97,73,"Financial Modeling, Accounting",Financial Analyst
89,81,"Scientific Writing, Critical Thinking, Data Analysis",Research Scientist
88,99,"Python, Big Data, Teamwork, Machine Learning, Data Visualization",Data Scientist
85,77,"Biology, Chemistry, Patient Care",Doctor
78,70,"Accounting, Investment Analysis, Creativity, Financial Modeling",Financial Analyst
75,95,"Communication, Argumentation, Client Counseling",Lawyer
88,97,"Teamwork, Python, Big Data, Machine Learning, Statistics",Data Scientist
92,83,"Assessment, Communication, Lesson Planning, Subject Knowledge",Teacher
81,64,"Illustrator, Typography, Communication, Creativity",Graphic Designer
83,82,"Creative Writing, Content Strategy",Content Writer
97,99,"Content Planning, Community Management, Advertising",Social Media Manager
71,81,"Reasoning, Administration",Government Employee
99,95,"Community Management, Social Media Strategy, Advertising",Social Media Manager
68,93,"Valuation, Investment Analysis, Excel, Accounting",Financial Analyst
78,93,"Innovation, Fundraising, Pitching",Entrepreneur
63,78,"Administration, Reasoning, Aptitude, General Awareness, Problem Solving",Government Employee
83,67,"Python, Machine Learning, Big Data",Data Scientist
89,70,"Machine Design, Problem Solving, Materials Science",Mechanical Engineer
88,61,"Strategy, Finance Knowledge, Critical Thinking, Negotiation",Business Professional
81,63,"Social Media Strategy, Advertising, Content Planning, Community Management",Social Media Manager
80,89,"Debugging, Algorithms, System Design",Software Developer
99,62,"Problem Solving, Lesson Planning, Assessment, Communication",Teacher
91,87,"Creativity, Pitching, Startup Strategy",Entrepreneur
99,87,"Materials Science, Thermodynamics, Machine Design, Communication",Mechanical Engineer
82,86,"Python, Machine Learning, Data Visualization",Data Scientist
72,65,"Programming, DSA, Algorithms, Debugging",Software Developer
62,66,"Materials Science, Manufacturing, Thermodynamics, Problem Solving",Mechanical Engineer
60,71,"SEO, Content Marketing, Email Marketing",Digital Marketer
71,94,"Illustrator, Creativity",Graphic Designer
85,75,"Statistics, Machine Learning, Data Visualization",Data Scientist
77,73,"Critical Thinking, Pitching, Innovation, Startup Strategy, Fundraising",Entrepreneur
61,85,"Documentation, Requirement Gathering, SQL",Business Analyst
68,62,"Illustrator, Branding",Graphic Designer
63,60,"Excel, Financial Modeling, Creativity, Valuation",Financial Analyst
71,82,"Documentation, Teamwork, Communication, Data Analysis, SQL",Business Analyst
68,79,"Email Marketing, SEO, Analytics, Google Ads",Digital Marketer
97,69,"AutoCAD, Geotechnical Engineering",Civil Engineer
65,63,"Clinical Knowledge, Research Methods, Creativity",Psychologist
91,68,"Communication, Lesson Planning, Classroom Management, Assessment",Teacher
73,91,"Problem Solving, Lesson Planning, Communication",Teacher
72,71,"Analytics, Advertising, Community Management",Social Media Manager
69,64,"Branding, Illustrator",Graphic Designer
87,75,"Assessment, Lesson Planning, Classroom Management",Teacher
84,91,"Data Analysis, Laboratory Skills, Scientific Writing, Communication",Research Scientist
62,62,"Analytics, SEO",Digital Marketer
91,96,"Social Media Strategy, Critical Thinking, Content Planning",Social Media Manager
92,70,"Classroom Management, Problem Solving, Lesson Planning, Communication, Assessment",Teacher
93,75,"Medical Research, Patient Care, Biology",Doctor
88,74,"SEO Writing, Creative Writing, Proofreading",Content Writer
76,66,"DSA, System Design, Communication, Debugging",Software Developer
70,86,"Communication, Data Analysis, Critical Thinking",Research Scientist
79,92,"Critical Thinking, Data Analysis, Experimentation, Creativity",Research Scientist
96,91,"Biology, Medical Research",Doctor
79,78,"SQL, Data Analysis, Documentation",Business Analyst
87,80,"Teamwork, Content Marketing, Google Ads, Email Marketing, SEO",Digital Marketer
76,97,"Research Methods, Counseling, Critical Thinking, Therapy Techniques, Patient Care",Psychologist
96,92,"Patient Care, Critical Thinking, Anatomy, Biology",Doctor
82,93,"Financial Modeling, Investment Analysis",Financial Analyst
63,83,"Teamwork, Content Strategy, Proofreading, Creative Writing",Content Writer
70,78,"Valuation, Accounting",Financial Analyst
76,93,"Aptitude, General Awareness",Government Employee
82,82,"Clinical Knowledge, Counseling",Psychologist
78,79,"Law Knowledge, Teamwork, General Awareness, Reasoning, Aptitude",Government Employee
73,83,"Creativity, Illustrator, Typography, Photoshop, Critical Thinking",Graphic Designer
97,60,"AutoCAD, Structural Design, Design Principles",Architect
67,90,"Analytics, Content Planning, Social Media Strategy, Community Management",Social Media Manager
94,81,"Client Counseling, Documentation, Argumentation, Court Procedures",Lawyer
69,64,"Classroom Management, Lesson Planning, Teamwork, Subject Knowledge",Teacher
80,93,"Strategy, Critical Thinking, Negotiation",Business Professional
71,75,"Big Data, Machine Learning, Python",Data Scientist
92,71,"Argumentation, Court Procedures, Documentation, Communication",Lawyer
74,71,"Python, Statistics",Data Scientist
89,74,"Communication, Accounting, Investment Analysis",Financial Analyst
94,64,"Communication, Business Development, Startup Strategy, Fundraising, Innovation",Entrepreneur
85,85,"Accounting, Creativity, Financial Modeling, Valuation, Investment Analysis",Financial Analyst
67,100,"AutoCAD, Project Management, Building Codes, Structural Design",Architect
73,74,"Creativity, Manufacturing, CAD, Machine Design",Mechanical Engineer
97,85,"Google Ads, Email Marketing, SEO, Content Marketing",Digital Marketer
84,77,"Communication, Accounting, Excel, Valuation",Financial Analyst
85,98,"General Awareness, Reasoning, Problem Solving, Law Knowledge",Government Employee
98,94,"Design Principles, Project Management, Structural Design, AutoCAD",Architect
72,93,"Community Management, Content Planning, Social Media Strategy, Teamwork, Advertising",Social Media Manager
87,62,"Problem Solving, Aptitude, Reasoning, Law Knowledge",Government Employee
64,87,"Big Data, Communication, Python",Data Scientist
81,66,"General Awareness, Administration, Aptitude, Law Knowledge",Government Employee
71,77,"SEO, Analytics",Digital Marketer
64,90,"Financial Modeling, Accounting, Investment Analysis",Financial Analyst
68,88,"General Awareness, Law Knowledge, Administration, Reasoning",Government Employee
83,94,"Typography, Creativity, Branding, Problem Solving, Illustrator",Graphic Designer
77,88,"Critical Thinking, Content Strategy, SEO Writing",Content Writer
69,86,"Structural Design, Design Principles, Building Codes, Problem Solving, AutoCAD",Architect
64,80,"CAD, Thermodynamics, Manufacturing, Materials Science",Mechanical Engineer
80,89,"Innovation, Fundraising, Startup Strategy, Communication",Entrepreneur
64,97,"Surveying, Structural Analysis, AutoCAD, Construction Management",Civil Engineer
90,65,"Design Principles, Project Management, Critical Thinking",Architect
88,88,"Surveying, Geotechnical Engineering, AutoCAD, Construction Management, Communication",Civil Engineer
67,70,"AutoCAD, Surveying",Civil Engineer
70,70,"Patient Care, Biology, Anatomy",Doctor
76,64,"Project Management, Critical Thinking, Design Principles",Architect
60,61,"Geotechnical Engineering, AutoCAD, Structural Analysis",Civil Engineer
96,80,"AutoCAD, Construction Management, Structural Analysis",Civil Engineer
78,73,"Creativity, Anatomy, Medical Research, Patient Care",Doctor
66,68,"Law Knowledge, General Awareness, Administration, Aptitude",Government Employee
